SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered
100,09/17/2020,Andaman and Nicobar Islands,India,3604,52,3378
101,09/18/2020,Andaman and Nicobar Islands,India,3631,52,3414
102,09/19/2020,Andaman and Nicobar Islands,India,3644,52,3436
103,09/20/2020,Andaman and Nicobar Islands,India,3651,52,3452
104,09/21/2020,Andaman and Nicobar Islands,India,3673,52,3469
105,09/22/2020,Andaman and Nicobar Islands,India,3691,52,3479
106,09/23/2020,Andaman and Nicobar Islands,India,3712,52,3494
107,09/24/2020,Andaman and Nicobar Islands,India,3744,52,3503
108,09/25/2020,Andaman and Nicobar Islands,India,3759,52,3528
109,09/26/2020,Andaman and Nicobar Islands,India,3774,52,3551
110,09/27/2020,Andaman and Nicobar Islands,India,3794,53,3553
111,09/28/2020,Andaman and Nicobar Islands,India,3803,53,3582
112,09/29/2020,Andaman and Nicobar Islands,India,3821,53,3587
113,09/30/2020,Andaman and Nicobar Islands,India,3835,53,3608
114,10/01/2020,Andaman and Nicobar Islands,India,3848,53,3623
115,10/02/2020,Andaman and Nicobar Islands,India,3858,53,3631
116,10/03/2020,Andaman and Nicobar Islands,India,3868,53,3642
117,10/04/2020,Andaman and Nicobar Islands,India,3884,53,3649
118,10/05/2020,Andaman and Nicobar Islands,India,3899,54,3659
119,10/06/2020,Andaman and Nicobar Islands,India,3912,54,3678
120,10/07/2020,Andaman and Nicobar Islands,India,3935,54,3696
121,10/08/2020,Andaman and Nicobar Islands,India,3952,55,3707
122,10/09/2020,Andaman and Nicobar Islands,India,3976,55,3724
123,10/10/2020,Andaman and Nicobar Islands,India,3992,55,3744
124,10/11/2020,Andaman and Nicobar Islands,India,4005,55,3764
125,10/12/2020,Andaman and Nicobar Islands,India,4023,55,3770
126,10/13/2020,Andaman and Nicobar Islands,India,4036,55,3782
127,10/14/2020,Andaman and Nicobar Islands,India,4046,55,3796
128,10/15/2020,Andaman and Nicobar Islands,India,4062,55,3817
129,10/16/2020,Andaman and Nicobar Islands,India,4072,56,3831
130,10/17/2020,Andaman and Nicobar Islands,India,4083,56,3848
131,10/18/2020,Andaman and Nicobar Islands,India,4108,56,3868
132,10/19/2020,Andaman and Nicobar Islands,India,4126,56,3892
133,10/20/2020,Andaman and Nicobar Islands,India,4141,56,3902
134,10/21/2020,Andaman and Nicobar Islands,India,4168,56,3913
135,10/22/2020,Andaman and Nicobar Islands,India,4184,57,3937
136,10/23/2020,Andaman and Nicobar Islands,India,4207,58,3945
137,10/24/2020,Andaman and Nicobar Islands,India,4225,58,3968
138,10/25/2020,Andaman and Nicobar Islands,India,4245,58,3983
139,10/26/2020,Andaman and Nicobar Islands,India,4253,58,3997
140,10/27/2020,Andaman and Nicobar Islands,India,4274,58,4019
141,10/28/2020,Andaman and Nicobar Islands,India,4289,58,4039
142,10/29/2020,Andaman and Nicobar Islands,India,4305,59,4054
143,10/30/2020,Andaman and Nicobar Islands,India,4317,59,4076
144,10/31/2020,Andaman and Nicobar Islands,India,4332,59,4100
145,11/01/2020,Andaman and Nicobar Islands,India,4340,60,4112
146,11/02/2020,Andaman and Nicobar Islands,India,4352,60,4132
147,11/03/2020,Andaman and Nicobar Islands,India,4372,60,4153
148,11/04/2020,Andaman and Nicobar Islands,India,4389,60,4163
149,11/05/2020,Andaman and Nicobar Islands,India,4403,60,4175
150,11/06/2020,Andaman and Nicobar Islands,India,4420,60,4194
151,11/07/2020,Andaman and Nicobar Islands,India,4441,60,4206
152,11/08/2020,Andaman and Nicobar Islands,India,4450,60,4221
153,11/09/2020,Andaman and Nicobar Islands,India,4463,60,4239
154,11/10/2020,Andaman and Nicobar Islands,India,4477,60,4255
155,11/11/2020,Andaman and Nicobar Islands,India,4494,60,4267
156,11/12/2020,Andaman and Nicobar Islands,India,4507,61,4282
157,11/13/2020,Andaman and Nicobar Islands,India,4518,61,4304
158,11/14/2020,Andaman and Nicobar Islands,India,4527,61,4315
159,11/15/2020,Andaman and Nicobar Islands,India,4536,61,4330
160,11/16/2020,Andaman and Nicobar Islands,India,4557,61,4346
161,11/17/2020,Andaman and Nicobar Islands,India,4574,61,4363
162,11/18/2020,Andaman and Nicobar Islands,India,4593,61,4378
163,11/19/2020,Andaman and Nicobar Islands,India,4604,61,4398
164,11/20/2020,Andaman and Nicobar Islands,India,4617,61,4408
165,11/21/2020,Andaman and Nicobar Islands,India,4631,61,4428
166,11/22/2020,Andaman and Nicobar Islands,India,4641,61,4440
167,11/23/2020,Andaman and Nicobar Islands,India,4656,61,4453
168,11/24/2020,Andaman and Nicobar Islands,India,4667,61,4464
169,11/25/2020,Andaman and Nicobar Islands,India,4677,61,4479
170,11/26/2020,Andaman and Nicobar Islands,India,4682,61,4491
171,11/27/2020,Andaman and Nicobar Islands,India,4689,61,4508
172,11/28/2020,Andaman and Nicobar Islands,India,4698,61,4518
173,11/29/2020,Andaman and Nicobar Islands,India,4704,61,4537
174,11/30/2020,Andaman and Nicobar Islands,India,4710,61,4550
175,12/01/2020,Andaman and Nicobar Islands,India,4718,61,4566
176,12/02/2020,Andaman and Nicobar Islands,India,4723,61,4583
177,12/03/2020,Andaman and Nicobar Islands,India,4729,61,4597
178,12/04/2020,Andaman and Nicobar Islands,India,4742,61,4611
179,12/05/2020,Andaman and Nicobar Islands,India,4747,61,4616
180,12/06/2020,Andaman and Nicobar Islands,India,4758,61,4624
181,12/07/2020,Andaman and Nicobar Islands,India,4773,61,4631
182,12/08/2020,Andaman and Nicobar Islands,India,4778,61,4647
183,12/09/2020,Andaman and Nicobar Islands,India,4783,61,4647
184,12/10/2020,Andaman and Nicobar Islands,India,4791,61,4652
185,12/11/2020,Andaman and Nicobar Islands,India,4798,61,4659
186,12/12/2020,Andaman and Nicobar Islands,India,4805,61,4665
187,12/13/2020,Andaman and Nicobar Islands,India,4818,61,4673
188,12/14/2020,Andaman and Nicobar Islands,India,4834,61,4681
189,12/15/2020,Andaman and Nicobar Islands,India,4842,61,4688
190,12/16/2020,Andaman and Nicobar Islands,India,4850,61,4698
191,12/17/2020,Andaman and Nicobar Islands,India,4860,61,4707
192,12/18/2020,Andaman and Nicobar Islands,India,4869,61,4712
193,12/19/2020,Andaman and Nicobar Islands,India,4875,61,4719
194,12/20/2020,Andaman and Nicobar Islands,India,4881,61,4732
195,12/21/2020,Andaman and Nicobar Islands,India,4888,62,4740
196,12/22/2020,Andaman and Nicobar Islands,India,4893,62,4749
197,12/23/2020,Andaman and Nicobar Islands,India,4896,62,4761
198,12/24/2020,Andaman and Nicobar Islands,India,4901,62,4775
199,12/25/2020,Andaman and Nicobar Islands,India,4912,62,4781
200,12/26/2020,Andaman and Nicobar Islands,India,4912,62,4789
201,12/27/2020,Andaman and Nicobar Islands,India,4924,62,4798
202,12/28/2020,Andaman and Nicobar Islands,India,4929,62,4803
203,12/29/2020,Andaman and Nicobar Islands,India,4936,62,4811
204,12/30/2020,Andaman and Nicobar Islands,India,4941,62,4820
205,12/31/2020,Andaman and Nicobar Islands,India,4941,62,4820
206,01/01/2021,Andaman and Nicobar Islands,India,4945,62,4826
207,01/02/2021,Andaman and Nicobar Islands,India,4947,62,4837
208,01/03/2021,Andaman and Nicobar Islands,India,4948,62,4846
209,01/04/2021,Andaman and Nicobar Islands,India,4948,62,4848
210,01/05/2021,Andaman and Nicobar Islands,India,4949,62,4856
211,01/06/2021,Andaman and Nicobar Islands,India,4949,62,4859
212,01/07/2021,Andaman and Nicobar Islands,India,4958,62,4864
213,01/08/2021,Andaman and Nicobar Islands,India,4958,62,4864
214,01/09/2021,Andaman and Nicobar Islands,India,4959,62,4873
215,01/10/2021,Andaman and Nicobar Islands,India,4960,62,4875
216,01/11/2021,Andaman and Nicobar Islands,India,4963,62,4884
217,01/12/2021,Andaman and Nicobar Islands,India,4966,62,4886
218,01/13/2021,Andaman and Nicobar Islands,India,4969,62,4891
219,01/14/2021,Andaman and Nicobar Islands,India,4976,62,4891
220,01/15/2021,Andaman and Nicobar Islands,India,4979,62,4895
221,01/16/2021,Andaman and Nicobar Islands,India,4982,62,4895
222,01/17/2021,Andaman and Nicobar Islands,India,4983,62,4896
223,01/18/2021,Andaman and Nicobar Islands,India,4988,62,4897
224,01/19/2021,Andaman and Nicobar Islands,India,4989,62,4897
225,01/20/2021,Andaman and Nicobar Islands,India,4991,62,4900
226,01/21/2021,Andaman and Nicobar Islands,India,4991,62,4904
227,01/22/2021,Andaman and Nicobar Islands,India,4992,62,4907
228,01/23/2021,Andaman and Nicobar Islands,India,4993,62,4907
229,01/24/2021,Andaman and Nicobar Islands,India,4993,62,4908
230,01/25/2021,Andaman and Nicobar Islands,India,4994,62,4917
231,01/26/2021,Andaman and Nicobar Islands,India,4994,62,4917
232,01/27/2021,Andaman and Nicobar Islands,India,4994,62,4922
233,01/28/2021,Andaman and Nicobar Islands,India,4994,62,4924
234,01/29/2021,Andaman and Nicobar Islands,India,4994,62,4927
235,01/30/2021,Andaman and Nicobar Islands,India,4994,62,4928
236,01/31/2021,Andaman and Nicobar Islands,India,4994,62,4928
237,02/01/2021,Andaman and Nicobar Islands,India,4994,62,4932
238,02/02/2021,Andaman and Nicobar Islands,India,4994,62,4932
239,02/03/2021,Andaman and Nicobar Islands,India,4994,62,4932
240,02/04/2021,Andaman and Nicobar Islands,India,4994,62,4932
241,02/05/2021,Andaman and Nicobar Islands,India,4997,62,4932
242,02/06/2021,Andaman and Nicobar Islands,India,5000,62,4932
243,02/07/2021,Andaman and Nicobar Islands,India,5001,62,4932
244,02/08/2021,Andaman and Nicobar Islands,India,5005,62,4932
245,02/09/2021,Andaman and Nicobar Islands,India,5007,62,4932
246,02/10/2021,Andaman and Nicobar Islands,India,5007,62,4932
247,02/11/2021,Andaman and Nicobar Islands,India,5007,62,4932
248,02/12/2021,Andaman and Nicobar Islands,India,5007,62,4934
249,02/13/2021,Andaman and Nicobar Islands,India,5009,62,4938
250,02/14/2021,Andaman and Nicobar Islands,India,5009,62,4938
251,02/15/2021,Andaman and Nicobar Islands,India,5009,62,4938
252,02/16/2021,Andaman and Nicobar Islands,India,5013,62,4943
253,02/17/2021,Andaman and Nicobar Islands,India,5014,62,4944
254,02/18/2021,Andaman and Nicobar Islands,India,5014,62,4944
255,02/19/2021,Andaman and Nicobar Islands,India,5014,62,4948
256,02/20/2021,Andaman and Nicobar Islands,India,5014,62,4949
257,02/21/2021,Andaman and Nicobar Islands,India,5014,62,4949
258,02/22/2021,Andaman and Nicobar Islands,India,5015,62,4949
259,02/23/2021,Andaman and Nicobar Islands,India,5016,62,4949
260,02/24/2021,Andaman and Nicobar Islands,India,5016,62,4950
261,02/25/2021,Andaman and Nicobar Islands,India,5016,62,4952
262,02/26/2021,Andaman and Nicobar Islands,India,5017,62,4952
263,02/27/2021,Andaman and Nicobar Islands,India,5018,62,4952
264,02/28/2021,Andaman and Nicobar Islands,India,5020,62,4952
265,03/01/2021,Andaman and Nicobar Islands,India,5020,62,4952
266,03/02/2021,Andaman and Nicobar Islands,India,5020,62,4952
267,03/03/2021,Andaman and Nicobar Islands,India,5022,62,4952
268,03/04/2021,Andaman and Nicobar Islands,India,5024,62,4953
269,03/05/2021,Andaman and Nicobar Islands,India,5024,62,4954
270,03/06/2021,Andaman and Nicobar Islands,India,5024,62,4955
271,03/07/2021,Andaman and Nicobar Islands,India,5024,62,4955
272,03/08/2021,Andaman and Nicobar Islands,India,5026,62,4957
273,03/09/2021,Andaman and Nicobar Islands,India,5028,62,4958
274,03/10/2021,Andaman and Nicobar Islands,India,5028,62,4960
275,03/11/2021,Andaman and Nicobar Islands,India,5028,62,4960
276,03/12/2021,Andaman and Nicobar Islands,India,5029,62,4961
277,03/13/2021,Andaman and Nicobar Islands,India,5030,62,4964
278,03/14/2021,Andaman and Nicobar Islands,India,5031,62,4964
279,03/15/2021,Andaman and Nicobar Islands,India,5031,62,4966
280,03/16/2021,Andaman and Nicobar Islands,India,5032,62,4967
281,03/17/2021,Andaman and Nicobar Islands,India,5035,62,4967
282,03/18/2021,Andaman and Nicobar Islands,India,5036,62,4969
283,03/19/2021,Andaman and Nicobar Islands,India,5038,62,4969
284,03/20/2021,Andaman and Nicobar Islands,India,5038,62,4969
285,03/21/2021,Andaman and Nicobar Islands,India,5039,62,4969
286,03/22/2021,Andaman and Nicobar Islands,India,5039,62,4969
287,03/23/2021,Andaman and Nicobar Islands,India,5039,62,4972
288,03/24/2021,Andaman and Nicobar Islands,India,5041,62,4973
289,03/25/2021,Andaman and Nicobar Islands,India,5042,62,4974
290,03/26/2021,Andaman and Nicobar Islands,India,5043,62,4974
291,03/27/2021,Andaman and Nicobar Islands,India,5044,62,4975
292,03/28/2021,Andaman and Nicobar Islands,India,5046,62,4976
293,03/29/2021,Andaman and Nicobar Islands,India,5052,62,4976
294,03/30/2021,Andaman and Nicobar Islands,India,5081,62,4976
295,03/31/2021,Andaman and Nicobar Islands,India,5083,62,4976
296,04/01/2021,Andaman and Nicobar Islands,India,5084,62,4980
297,04/02/2021,Andaman and Nicobar Islands,India,5084,62,4981
298,04/03/2021,Andaman and Nicobar Islands,India,5098,62,4987
299,04/04/2021,Andaman and Nicobar Islands,India,5109,62,4990
300,04/05/2021,Andaman and Nicobar Islands,India,5116,62,5001
301,04/06/2021,Andaman and Nicobar Islands,India,5123,62,5010
302,04/07/2021,Andaman and Nicobar Islands,India,5131,62,5020
303,04/08/2021,Andaman and Nicobar Islands,India,5149,62,5027
304,04/09/2021,Andaman and Nicobar Islands,India,5161,62,5028
305,04/10/2021,Andaman and Nicobar Islands,India,5175,62,5038
306,04/11/2021,Andaman and Nicobar Islands,India,5190,62,5040
307,04/12/2021,Andaman and Nicobar Islands,India,5201,62,5050
308,04/13/2021,Andaman and Nicobar Islands,India,5209,62,5054
309,04/14/2021,Andaman and Nicobar Islands,India,5247,63,5078
310,04/15/2021,Andaman and Nicobar Islands,India,5262,63,5082
311,04/16/2021,Andaman and Nicobar Islands,India,5289,63,5110
312,04/17/2021,Andaman and Nicobar Islands,India,5331,64,5146
313,04/18/2021,Andaman and Nicobar Islands,India,5390,64,5200
314,04/19/2021,Andaman and Nicobar Islands,India,5421,64,5212
315,04/20/2021,Andaman and Nicobar Islands,India,5466,64,5243
316,04/21/2021,Andaman and Nicobar Islands,India,5490,64,5276
317,04/22/2021,Andaman and Nicobar Islands,India,5527,65,5309
318,04/23/2021,Andaman and Nicobar Islands,India,5569,65,5358
319,04/24/2021,Andaman and Nicobar Islands,India,5614,66,5410
320,04/25/2021,Andaman and Nicobar Islands,India,5665,66,5467
321,04/26/2021,Andaman and Nicobar Islands,India,5716,66,5520
322,04/27/2021,Andaman and Nicobar Islands,India,5764,66,5562
323,04/28/2021,Andaman and Nicobar Islands,India,5816,67,5606
324,04/29/2021,Andaman and Nicobar Islands,India,5875,67,5643
325,04/30/2021,Andaman and Nicobar Islands,India,5949,67,5701
326,05/01/2021,Andaman and Nicobar Islands,India,6046,68,5773
327,05/02/2021,Andaman and Nicobar Islands,India,6084,69,5798
328,05/03/2021,Andaman and Nicobar Islands,India,6150,70,5850
329,05/04/2021,Andaman and Nicobar Islands,India,6181,70,5879
330,05/05/2021,Andaman and Nicobar Islands,India,6223,71,5928
331,05/06/2021,Andaman and Nicobar Islands,India,6255,72,5958
332,05/07/2021,Andaman and Nicobar Islands,India,6311,72,6030
333,05/08/2021,Andaman and Nicobar Islands,India,6341,74,6056
334,05/09/2021,Andaman and Nicobar Islands,India,6367,76,6088
335,05/10/2021,Andaman and Nicobar Islands,India,6398,78,6125
336,05/11/2021,Andaman and Nicobar Islands,India,6426,78,6149
337,05/12/2021,Andaman and Nicobar Islands,India,6470,81,6175
338,05/13/2021,Andaman and Nicobar Islands,India,6510,83,6213
339,05/14/2021,Andaman and Nicobar Islands,India,6542,85,6225
340,05/15/2021,Andaman and Nicobar Islands,India,6568,85,6267
341,05/16/2021,Andaman and Nicobar Islands,India,6603,88,6283
342,05/17/2021,Andaman and Nicobar Islands,India,6638,89,6329
343,05/18/2021,Andaman and Nicobar Islands,India,6674,92,6359
344,05/19/2021,Andaman and Nicobar Islands,India,6709,95,6385
345,05/20/2021,Andaman and Nicobar Islands,India,6758,96,6401
346,05/21/2021,Andaman and Nicobar Islands,India,6789,98,6417
347,05/22/2021,Andaman and Nicobar Islands,India,6820,101,6441
348,05/23/2021,Andaman and Nicobar Islands,India,6844,103,6473
349,05/24/2021,Andaman and Nicobar Islands,India,6853,104,6495
350,05/25/2021,Andaman and Nicobar Islands,India,6878,106,6544
351,05/26/2021,Andaman and Nicobar Islands,India,6901,108,6573
352,05/27/2021,Andaman and Nicobar Islands,India,6917,109,6591
353,05/28/2021,Andaman and Nicobar Islands,India,6936,113,6630
354,05/29/2021,Andaman and Nicobar Islands,India,6964,113,6660
355,06/10/2020,Andhra Pradesh,India,5070,77,2802
356,06/11/2020,Andhra Pradesh,India,5429,80,3048
357,06/12/2020,Andhra Pradesh,India,5429,80,3048
358,06/13/2020,Andhra Pradesh,India,5680,80,3105
359,06/14/2020,Andhra Pradesh,India,5965,82,3195
360,06/15/2020,Andhra Pradesh,India,6456,88,3316
361,06/16/2020,Andhra Pradesh,India,6841,88,3509
362,06/17/2020,Andhra Pradesh,India,7071,90,3641
363,06/18/2020,Andhra Pradesh,India,7518,92,3789
364,06/19/2020,Andhra Pradesh,India,7961,96,3917
365,06/20/2020,Andhra Pradesh,India,8452,101,4111
366,06/21/2020,Andhra Pradesh,India,8999,106,4331
367,06/22/2020,Andhra Pradesh,India,9372,111,4495
368,06/23/2020,Andhra Pradesh,India,10002,119,4599
369,06/24/2020,Andhra Pradesh,India,10331,124,4779
370,06/25/2020,Andhra Pradesh,India,10884,136,4988
371,06/26/2020,Andhra Pradesh,India,11489,148,5196
372,06/27/2020,Andhra Pradesh,India,12285,157,5480
373,06/28/2020,Andhra Pradesh,India,13241,169,5908
374,06/29/2020,Andhra Pradesh,India,13891,180,6232
375,06/30/2020,Andhra Pradesh,India,14595,187,6511
376,07/01/2020,Andhra Pradesh,India,15252,193,6988
377,07/02/2020,Andhra Pradesh,India,16097,198,7313
378,07/03/2020,Andhra Pradesh,India,16934,206,7632
379,07/04/2020,Andhra Pradesh,India,17699,218,8008
380,07/05/2020,Andhra Pradesh,India,18697,232,8422
381,07/06/2020,Andhra Pradesh,India,20019,239,8920
382,07/07/2020,Andhra Pradesh,India,21197,252,9745
383,07/08/2020,Andhra Pradesh,India,22259,264,11101
384,07/09/2020,Andhra Pradesh,India,23814,277,12154
385,07/10/2020,Andhra Pradesh,India,25422,292,13194
386,07/11/2020,Andhra Pradesh,India,27235,309,14393
387,07/12/2020,Andhra Pradesh,India,29168,328,15412
388,07/13/2020,Andhra Pradesh,India,31103,365,16464
389,07/14/2020,Andhra Pradesh,India,33019,408,17467
390,07/15/2020,Andhra Pradesh,India,35451,452,18378
391,07/16/2020,Andhra Pradesh,India,38044,492,19393
392,07/17/2020,Andhra Pradesh,India,40646,534,20298
393,07/18/2020,Andhra Pradesh,India,44609,586,21763
394,07/19/2020,Andhra Pradesh,India,49650,642,22890
395,07/20/2020,Andhra Pradesh,India,53724,696,24228
396,07/21/2020,Andhra Pradesh,India,58668,758,25574
397,07/22/2020,Andhra Pradesh,India,64713,823,32127
398,07/23/2020,Andhra Pradesh,India,72711,884,37555
399,07/24/2020,Andhra Pradesh,India,80858,933,39935
400,07/25/2020,Andhra Pradesh,India,88671,985,43255
401,07/26/2020,Andhra Pradesh,India,96298,1041,46301
402,07/27/2020,Andhra Pradesh,India,102349,1090,49558
403,07/28/2020,Andhra Pradesh,India,102349,1090,49558
404,07/29/2020,Andhra Pradesh,India,120390,1213,55406
405,07/30/2020,Andhra Pradesh,India,130557,1281,60024
406,07/31/2020,Andhra Pradesh,India,140933,1349,63864
407,08/01/2020,Andhra Pradesh,India,150209,1407,76614
408,08/02/2020,Andhra Pradesh,India,158764,1474,82886
409,08/03/2020,Andhra Pradesh,India,166586,1537,88672
410,08/04/2020,Andhra Pradesh,India,176333,1604,95625
411,08/05/2020,Andhra Pradesh,India,186461,1681,104354
412,08/06/2020,Andhra Pradesh,India,196789,1753,112870
413,08/07/2020,Andhra Pradesh,India,206960,1842,120464
414,08/08/2020,Andhra Pradesh,India,217040,1939,129615
415,08/09/2020,Andhra Pradesh,India,227860,2036,138712
416,08/10/2020,Andhra Pradesh,India,235525,2116,145636
417,08/11/2020,Andhra Pradesh,India,244549,2203,154749
418,08/12/2020,Andhra Pradesh,India,254146,2296,161425
419,08/13/2020,Andhra Pradesh,India,264142,2378,170984
420,08/14/2020,Andhra Pradesh,India,273085,2475,180703
421,08/15/2020,Andhra Pradesh,India,281817,2562,191117
422,08/16/2020,Andhra Pradesh,India,289829,2650,201234
423,08/17/2020,Andhra Pradesh,India,296609,2732,209100
424,08/18/2020,Andhra Pradesh,India,306261,2820,218311
425,08/19/2020,Andhra Pradesh,India,316003,2906,226372
426,08/20/2020,Andhra Pradesh,India,325396,3001,235218
427,08/21/2020,Andhra Pradesh,India,334940,3092,244045
428,08/22/2020,Andhra Pradesh,India,345216,3189,252638
429,08/23/2020,Andhra Pradesh,India,353111,3282,260087
430,08/24/2020,Andhra Pradesh,India,361712,3368,268828
431,08/25/2020,Andhra Pradesh,India,361712,3368,268828
432,08/26/2020,Andhra Pradesh,India,382469,3541,286720
